company,count_word_boundary
Яндекс,1166
Telegram,885
Тинькофф,234
МТС,206
Сбер,159
ВТБ,151
Ozon,117
VK,100
Лента,79
Avito,72
OWOX,72
ivi,71
ЦИАН,61
Билайн,59
X5 Group,58
Точка,58
СберМаркет,55
МегаФон,51
Wildberries,47
Lamoda,39
Tele2,35
KION,35
AliExpress,30
Okko,28
Магнит,27
Леруа Мерлен,22
Roistat,17
QIWI,16
KFC,16
Ростелеком,14
Ostrovok,14
Аэрофлот,14
ЛитРес,14
ВкусВилл,14
Mindbox,13
Альфа-Банк,12
М.Видео,12
Эльдорадо,10
Райффайзен,9
EPAM,9
Selectel,8
Exness,7
МегаМаркет,5
ДомКлик,4
KazanExpress,4
Dodo Pizza,4
Fix Price,3
Burger King,2
IQ Option,2
Starbucks,2
Heineken,2
Joom,2
More.tv,1
